group,exam,time,finished,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
10,1,60.0374,False,171659,511729,66.4493,7.79601e-05,35.5012,4.16509e-05,0.846463,9.93092e-07
10,2,60.0452,False,266476,528989,67.3277,7.64232e-05,35.2438,4.0005e-05,0.814048,9.2402e-07
10,3,60.027,False,220849,515915,65.0887,7.5731e-05,34.0606,3.96297e-05,0.973172,1.13229e-06
10,4,60.0339,False,232178,527167,64.5991,7.35656e-05,34.1799,3.89241e-05,1.07292,1.22185e-06
10,5,60.0303,False,212055,484000,65.1949,8.08609e-05,32.9304,4.08434e-05,0.827317,1.02612e-06
10,6,60.036,False,214866,506152,66.9482,7.94089e-05,34.4688,4.08843e-05,0.740272,8.78056e-07
10,7,60.0439,False,199650,495693,65.498,7.93385e-05,33.0868,4.00784e-05,0.820594,9.93995e-07
10,8,60.0485,False,184106,503197,66.3674,7.91989e-05,34.7916,4.15183e-05,0.833841,9.95056e-07
10,9,60.0477,False,228356,500484,64.3917,7.72567e-05,31.7565,3.81012e-05,0.963427,1.15591e-06
10,10,60.0438,False,152559,395201,66.8275,0.000101533,32.3338,4.91256e-05,0.576575,8.76004e-07
11,1,60.0385,False,216986,467772,66.6631,8.5562e-05,33.2674,4.26987e-05,0.822291,1.05541e-06
11,2,60.0343,False,225525,464373,64.9525,8.39709e-05,30.8463,3.98782e-05,1.02811,1.32915e-06
11,3,0.1019,True,80,267,18.8817,7.20614e-05,10.8839,4.15378e-05,0.266537,1.01723e-06
11,4,60.0471,False,200021,503636,65.1638,7.7693e-05,32.0652,3.82304e-05,0.889443,1.06046e-06
11,5,60.0322,False,182083,486957,66.2711,8.16992e-05,32.3201,3.98443e-05,0.772634,9.52505e-07
11,6,60.0414,False,166651,403276,66.8112,9.94713e-05,30.8199,4.58859e-05,0.703742,1.04776e-06
11,7,60.0482,False,190750,438290,65.0243,8.90871e-05,30.167,4.13305e-05,0.835281,1.14438e-06
11,8,60.0355,False,181314,473546,65.6305,8.32055e-05,32.6843,4.14368e-05,0.87506,1.10939e-06
11,9,60.0472,False,229358,487425,66.6756,8.21395e-05,32.1026,3.95481e-05,0.818572,1.00842e-06
11,10,34.4503,True,132170,244421,65.1102,9.17705e-05,26.7179,3.7658e-05,1.00201,1.41229e-06
12,1,0.109995,True,87,217,13.292,6.73756e-05,7.02859,3.56272e-05,0.188827,9.57143e-07
12,2,0.0928594,True,89,216,17.3573,7.46199e-05,9.39625,4.03949e-05,0.23864,1.02593e-06
12,3,0.64827,True,2242,5139,59.7136,7.5327e-05,29.5474,3.72732e-05,0.802706,1.01259e-06
12,4,0.0964452,True,74,208,15.1647,7.03154e-05,8.21638,3.80976e-05,0.223858,1.03798e-06
12,5,0.103939,True,65,224,17.4136,8.08018e-05,9.77137,4.53406e-05,0.205601,9.54018e-07
12,6,9.50729,True,40704,81488,64.0379,7.47138e-05,31.552,3.6812e-05,1.1001,1.2835e-06
12,7,0.101196,True,94,319,22.3917,7.10329e-05,12.2811,3.89592e-05,0.263351,8.35423e-07
12,8,0.101835,True,65,215,16.3077,7.72419e-05,8.67487,4.10888e-05,0.212892,1.00837e-06
12,9,0.0992246,True,88,207,14.7777,7.08362e-05,8.05153,3.85947e-05,0.210734,1.01014e-06
12,10,0.107521,True,90,309,23.2487,8.08974e-05,12.7618,4.44065e-05,0.305521,1.06311e-06
13,1,60.0839,False,124668,301566,69.7955,0.00013906,33.4127,6.65713e-05,0.399506,7.95975e-07
13,2,60.086,False,152536,374000,69.6506,0.000111899,35.6529,5.72792e-05,0.456968,7.34155e-07
13,3,60.0347,False,155868,340085,70.6503,0.000124718,35.3051,6.23236e-05,0.441012,7.78512e-07
13,4,60.0987,False,200462,398355,70.5335,0.000106412,36.6951,5.53609e-05,0.52981,7.99309e-07
13,5,60.0953,False,161027,369786,69.1647,0.000112402,36.0398,5.85696e-05,0.527841,8.57814e-07
13,6,60.0907,False,164536,379194,69.4171,0.000110005,36.3432,5.7593e-05,0.510177,8.08476e-07
13,7,60.0833,False,154337,353053,70.0382,0.000119192,36.0753,6.13937e-05,0.506394,8.61792e-07
13,8,60.0622,False,172817,357475,69.291,0.000116421,34.5213,5.80021e-05,0.585823,9.84289e-07
13,9,60.0776,False,164224,360039,69.9613,0.00011674,35.726,5.9614e-05,0.49786,8.30751e-07
13,10,60.0113,False,166424,359193,68.9037,0.000115119,35.746,5.97218e-05,0.553096,9.24071e-07
