group,exam,time,finished,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
16,1,60.0382,False,127865,322470,65.7328,0.000122383,35.3322,6.57824e-05,1.06369,1.9804e-06
16,2,60.0478,False,185842,343815,62.8428,0.000109756,31.8508,5.56279e-05,1.6062,2.80525e-06
16,3,0.115292,True,65,184,16.5893,0.000103947,8.95472,5.61092e-05,0.290739,1.82174e-06
16,4,0.100655,True,65,203,24.1544,0.000119767,14.1339,7.00813e-05,0.451839,2.24039e-06
16,5,0.107841,True,65,221,22.1249,0.000107962,13.004,6.34552e-05,0.360625,1.75973e-06
16,6,0.100424,True,72,251,29.694,0.000118805,17.5141,7.00733e-05,0.587307,2.3498e-06
16,7,0.100171,True,72,190,20.9665,0.000110538,11.6815,6.15868e-05,0.312466,1.64737e-06
16,8,0.106464,True,73,235,33.473,0.000151646,18.3157,8.29774e-05,0.615323,2.78766e-06
16,9,0.537093,True,1142,2371,54.472,0.000123393,27.9019,6.3205e-05,1.05425,2.38815e-06
16,10,0.107628,True,66,245,26.2054,0.000115119,15.3838,6.75804e-05,0.383731,1.68571e-06
