group,exam,time,finished,makespan,expand number,generated number,depth
1,1,45.2745,True,43,25164,160566,33
1,2,208.127,True,47,179449,901214,33
1,3,67.8993,True,47,62874,289994,33
1,4,672.474,False,0,362012,1813740,0
1,5,498.323,True,39,385022,1941060,33
1,6,258.793,True,48,268125,1130413,33
1,7,0.341243,True,60,273,1234,33
1,8,1.99402,True,53,1591,8392,33
1,9,102.521,True,49,63665,395014,33
1,10,57.303,True,45,42746,240568,33
2,1,24.0178,True,38,20649,103965,33
2,2,90.834,True,51,64743,355220,33
2,3,0.410408,True,43,245,1381,33
2,4,30.949,True,43,26871,136479,33
2,5,3.71737,True,51,2950,13851,33
2,6,1.02674,True,47,1018,4482,33
2,7,2.50599,True,47,1591,9685,33
2,8,374.337,True,54,239215,1432501,33
2,9,35.0823,True,54,25152,132583,33
2,10,11.8978,True,43,7949,49152,33
3,1,0.063869,True,72,69,238,33
3,2,30.9707,True,40,27493,135399,33
3,3,34.6681,True,57,21670,129509,33
3,4,0.0366144,True,98,52,133,33
3,5,65.6037,True,53,59359,292386,33
3,6,0.326045,True,54,228,1098,33
3,7,1.53951,True,48,932,6215,33
3,8,1.72855,True,54,940,6328,33
3,9,107.13,True,65,91290,445408,33
3,10,49.1787,True,59,46676,219959,33
4,1,0.173392,True,49,147,636,33
4,2,2.65425,True,60,2344,10620,33
4,3,0.212759,True,47,160,777,33
4,4,0.125112,True,57,108,469,33
4,5,0.341058,True,59,330,1419,33
4,6,0.156069,True,45,135,570,33
4,7,0.162644,True,56,121,571,33
4,8,0.0811991,True,55,71,295,33
4,9,9.95535,True,38,6156,39388,33
4,10,0.225632,True,48,234,911,33
5,1,689.394,False,0,250563,1309231,0
5,2,629.252,False,0,270607,1409193,0
5,3,767.584,False,0,282122,1538525,0
5,4,640.474,False,0,209466,1388481,0
5,5,653.63,False,0,265295,1291608,0
5,6,669.123,False,0,194114,1286364,0
5,7,608.248,False,0,173801,1274541,0
5,8,728.155,False,0,211185,1274035,0
5,9,639.144,False,0,255002,1345708,0
5,10,649.012,False,0,251393,1243803,0
6,1,326.339,True,59,200470,997305,33
6,2,677.055,False,0,244580,1408760,0
6,3,48.7891,True,48,34924,178292,33
6,4,140.996,True,42,79068,426034,33
6,5,808.345,False,0,402367,1613005,0
6,6,7.71013,True,37,4604,26502,33
6,7,794.768,False,0,323455,1688096,0
6,8,86.7187,True,39,56712,324449,33
6,9,361.352,True,51,244562,1096453,33
6,10,82.2427,True,61,46610,250929,33
7,1,2.38096,True,55,1172,5733,33
7,2,4.71217,True,42,2692,14536,33
7,3,2.07621,True,42,1014,6035,33
7,4,39.5449,True,44,26300,131436,33
7,5,54.7819,True,44,32334,165838,33
7,6,24.321,True,35,14936,92108,33
7,7,3.1554,True,50,2667,11595,33
7,8,11.7449,True,44,7097,41410,33
7,9,833.772,False,0,489084,1852562,0
7,10,778.189,False,0,455268,1977400,0
8,1,2.04672,True,44,1285,7572,33
8,2,0.424366,True,51,252,1397,33
8,3,12.6203,True,53,7492,45021,33
8,4,0.275484,True,48,186,866,33
8,5,0.147772,True,58,104,429,33
8,6,1.60898,True,47,877,5112,33
8,7,0.281684,True,41,174,910,33
8,8,0.934071,True,51,637,3022,33
8,9,6.88435,True,39,3653,24865,33
8,10,0.0947855,True,67,95,302,33
9,1,701.46,False,0,180093,1178656,0
9,2,928.956,False,0,234343,1247735,0
9,3,843.11,False,0,193541,1150055,0
9,4,846.053,False,0,194792,1256088,0
9,5,741.625,False,0,232280,1241661,0
9,6,911.767,False,0,190571,1153443,0
9,7,745.876,False,0,183640,1167734,0
9,8,730.376,False,0,237009,1318698,0
9,9,673.009,False,0,197832,1151815,0
9,10,751.285,False,0,174254,1192702,0
10,1,746.444,False,0,278734,1488264,0
10,2,754.228,False,0,334080,1247069,0
10,3,600.008,False,0,131199,544650,0
