group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
36,1,0.0281348,True,66,63,163,9.23945,1.59479e-05,4.41553,7.62147e-06,0.736454,1.27117e-06,6.50724,1.12319e-05
36,2,0.0391729,True,44,112,270,10.8276,1.57093e-05,5.42926,7.87704e-06,0.794171,1.15222e-06,11.8329,1.71678e-05
36,3,11.6766,True,61,35296,68444,10.5092,1.79287e-05,4.5388,7.74324e-06,1.19924,2.04592e-06,5.05867,8.63015e-06
36,4,2.63664,True,59,8459,15974,10.4452,1.72407e-05,4.62245,7.62973e-06,1.11769,1.84484e-06,29.9277,4.93981e-05
36,5,0.0254609,True,64,63,178,8.94312,1.27921e-05,4.51241,6.45449e-06,0.828722,1.18539e-06,3105,0.00444136
36,6,0.0291389,True,46,67,174,9.11531,1.52649e-05,4.70231,7.87471e-06,0.876835,1.46839e-06,2719.72,0.00455457
36,7,0.0269723,True,56,63,172,9.33031,1.46314e-05,4.5873,7.1936e-06,0.912047,1.43023e-06,2944.51,0.00461745
36,8,1.82337,True,63,6617,13852,10.2282,1.34636e-05,5.40068,7.10903e-06,0.807429,1.06284e-06,54.3552,7.15489e-05
36,9,0.0257318,True,59,73,199,9.49215,1.22739e-05,4.49172,5.80804e-06,0.807172,1.04372e-06,3858.55,0.00498932
36,10,0.0282523,True,59,65,163,8.7876,1.52313e-05,4.7182,8.17791e-06,0.746134,1.29325e-06,3520.67,0.00610227
