group,exam,time,finished,makespan,expand number,generated number
1,2,1033.98,False,0,1289001,3121253
1,3,1042.21,False,0,1181538,2689546
1,4,1233.37,False,0,1140973,3325799
1,5,8.14327,True,41,35081,66841
1,6,600.002,False,0,1225832,2656859
1,8,173.139,True,53,373067,1201023
1,9,1079.86,False,0,1215178,2907011
1,10,600.004,False,0,1189517,3381567
2,1,1080.29,False,0,1270363,2563314
2,2,600.002,False,0,1166290,2413822
2,4,0.0653084,True,43,212,563
2,5,4.69259,True,51,14909,34936
2,6,1290.66,False,0,1325210,2685090
2,8,600.004,False,0,1195227,3157768
2,9,1236.28,False,0,1218650,2799401
2,10,600.006,False,0,1086436,2852568
3,2,3.60161,True,46,12175,32458
3,3,0.44376,True,57,1351,3163
3,4,0.129848,True,98,315,1001
3,5,600.002,False,0,1138759,2943958
3,6,0.0296826,True,54,66,235
3,7,0.0344187,True,48,63,263
3,8,0.0301778,True,54,79,231
3,9,600.005,False,0,1127075,2749054
4,1,0.023824,True,49,63,192
4,2,0.0241857,True,60,63,195
4,3,0.603482,True,47,1879,4960
4,4,0.0244628,True,57,63,147
4,5,0.391093,True,59,1293,2754
4,7,217.511,True,56,480838,1026850
4,8,0.024713,True,55,63,210
4,10,0.231243,True,48,760,1799
5,2,600.002,False,0,949544,2105813
5,3,99.1433,True,76,166986,403243
5,4,223.166,True,66,353166,795723
5,5,0.14168,True,81,295,622
5,6,600.001,False,0,975526,2427955
5,7,271.943,True,83,447873,1217159
5,8,1.33343,True,72,2851,5743
5,9,12.0371,True,51,33492,83019
6,1,600.005,False,0,1003676,2356114
6,3,600.004,False,0,1051207,2497100
6,4,90.0836,True,42,211455,460070
6,5,0.701628,True,69,1714,4025
6,6,4.94864,True,37,11470,33020
6,7,233.622,True,46,421256,1078560
6,8,6.92478,True,41,20101,64085
6,10,600.001,False,0,817293,1994338
7,1,0.142509,True,55,399,841
7,2,0.699571,True,42,1934,4579
7,3,6.43649,True,42,21031,42670
7,4,22.513,True,44,68393,163499
7,6,600.004,False,0,1153513,2385827
7,7,17.827,True,50,49197,113749
7,9,600.003,False,0,1053140,2364357
7,10,600.005,False,0,1118058,2185820
8,2,0.0302122,True,51,65,221
8,3,0.0298183,True,53,63,237
8,4,0.03901,True,48,63,259
8,5,0.03122,True,58,64,214
8,7,0.0273235,True,41,65,189
8,8,0.913339,True,51,2802,6405
8,9,0.517301,True,39,1189,3575
8,10,0.0285192,True,67,64,219
9,1,0.626804,True,87,929,2117
9,2,1.12923,True,99,3786,6755
9,4,7.69244,True,76,16894,42403
9,5,600.002,False,0,1036092,2209944
9,6,4.99345,True,63,9831,22821
9,7,600.003,False,0,891263,1969935
9,8,3.36479,True,95,4951,11381
9,10,104.218,True,89,224097,446154
10,2,600.002,False,0,967443,2138446
10,3,23.1954,True,63,43341,97918
10,5,0.164778,True,42,445,1027
10,6,340.573,True,45,614669,1389852
10,7,600.002,False,0,933706,2200422
10,8,526.086,True,56,679878,1521989
10,9,600.003,False,0,950105,2110647
10,10,600.005,False,0,833076,2205590
11,1,0.656038,True,55,1841,3819
11,3,0.0415052,True,81,78,265
11,4,600.005,False,0,866983,1895071
11,5,339.453,True,51,522239,1363396
11,6,100.214,True,44,182880,445984
11,8,67.5378,True,62,142374,346052
11,9,238.836,True,67,333814,715277
11,10,2.50001,True,38,7115,16119
12,1,0.0307564,True,47,68,156
12,2,0.0385267,True,46,87,214
12,4,0.0398849,True,63,72,206
12,5,0.0325286,True,47,63,222
12,6,10.9012,True,53,35639,69651
12,7,0.054904,True,55,92,317
12,8,0.0320974,True,35,63,213
12,9,0.0356319,True,52,86,205
13,1,13.2781,True,64,32359,72136
13,2,2.06372,True,68,4392,9902
13,3,0.633215,True,87,1334,2576
13,5,1.37481,True,72,2106,5049
13,7,0.10653,True,83,175,362
13,8,4.14737,True,111,6154,12533
13,9,3.63326,True,73,6431,13536
13,10,371.778,True,74,547034,1253372
